GVID-100277,oracle-mysql-cve-2012-0540
GVID-100278,oracle-mysql-cve-2012-0553
GVID-100279,oracle-mysql-cve-2012-0572
GVID-100280,oracle-mysql-cve-2012-0574
GVID-100281,oracle-mysql-cve-2012-0578
GVID-100282,oracle-mysql-cve-2012-0583
GVID-100283,oracle-mysql-cve-2012-0882
GVID-100284,oracle-mysql-cve-2012-1688
GVID-100285,oracle-mysql-cve-2012-1689
GVID-100286,oracle-mysql-cve-2012-1690
GVID-100287,oracle-mysql-cve-2012-1696
GVID-100288,oracle-mysql-cve-2012-1697
GVID-100289,oracle-mysql-cve-2012-1702
GVID-100290,oracle-mysql-cve-2012-1703
GVID-100291,oracle-mysql-cve-2012-1705
GVID-100292,oracle-mysql-cve-2012-1734
GVID-100293,oracle-mysql-cve-2012-1735
GVID-100294,oracle-mysql-cve-2012-1756
GVID-100295,oracle-mysql-cve-2012-1757
GVID-100296,oracle-mysql-cve-2012-2102
GVID-100297,oracle-mysql-cve-2012-2122
GVID-100298,oracle-mysql-cve-2012-2749
GVID-100299,oracle-mysql-cve-2012-2750
GVID-100300,oracle-mysql-cve-2012-3144
GVID-100301,oracle-mysql-cve-2012-3147
GVID-100302,oracle-mysql-cve-2012-3149
GVID-100303,oracle-mysql-cve-2012-3150
GVID-100304,oracle-mysql-cve-2012-3156
GVID-100305,oracle-mysql-cve-2012-3158
GVID-100306,oracle-mysql-cve-2012-3160
GVID-100307,oracle-mysql-cve-2012-3163
GVID-100308,oracle-mysql-cve-2012-3166
GVID-100309,oracle-mysql-cve-2012-3167
GVID-100310,oracle-mysql-cve-2012-3173
GVID-100311,oracle-mysql-cve-2012-3177
GVID-100312,oracle-mysql-cve-2012-3180
GVID-100313,oracle-mysql-cve-2012-3197
GVID-100314,oracle-mysql-cve-2012-4414
GVID-100315,oracle-mysql-cve-2012-4452
GVID-100316,oracle-mysql-cve-2012-5060
GVID-100317,oracle-mysql-cve-2012-5096
GVID-100318,oracle-mysql-cve-2012-5611
GVID-100319,oracle-mysql-cve-2012-5612
GVID-100320,oracle-mysql-cve-2012-5614
GVID-100321,oracle-mysql-cve-2012-5615
GVID-100322,oracle-mysql-cve-2012-5627
GVID-100323,oracle-mysql-cve-2013-0367
GVID-100324,oracle-mysql-cve-2013-0368
GVID-100325,oracle-mysql-cve-2013-0371
GVID-100326,oracle-mysql-cve-2013-0375
GVID-100327,oracle-mysql-cve-2013-0383
GVID-100328,oracle-mysql-cve-2013-0384
GVID-100329,oracle-mysql-cve-2013-0385
GVID-100330,oracle-mysql-cve-2013-0386
GVID-100331,oracle-mysql-cve-2013-0389
GVID-100332,oracle-mysql-cve-2013-1492
GVID-100333,oracle-mysql-cve-2013-1502
GVID-100334,oracle-mysql-cve-2013-1506
GVID-100335,oracle-mysql-cve-2013-1511
GVID-100336,oracle-mysql-cve-2013-1512
GVID-100337,oracle-mysql-cve-2013-1521
GVID-100338,oracle-mysql-cve-2013-1523
GVID-100339,oracle-mysql-cve-2013-1526
GVID-100340,oracle-mysql-cve-2013-1531
GVID-100341,oracle-mysql-cve-2013-1532
GVID-100342,oracle-mysql-cve-2013-1544
GVID-100343,oracle-mysql-cve-2013-1548
